age	younger_all	older_all	younger_female_all	older_female_all	younger_male_all	older_male_all	younger_female_maldivian	older_female_maldivian	younger_male_maldivian	older_male_maldivian	younger_female_foreign	older_female_foreign	younger_male_foreign	older_male_foreign
0	2	98	2	98	2	98	2	98	2	98	1	99	0	100
1	4	96	4	96	3	97	4	96	4	96	2	98	0	100
2	5	95	6	94	5	95	6	94	6	94	3	97	0	100
3	7	93	8	92	7	93	8	92	9	91	3	97	0	100
4	9	91	10	90	8	92	10	90	11	89	4	96	1	99
5	11	89	12	88	10	90	12	88	13	87	4	96	1	99
6	13	87	14	86	12	88	14	86	15	85	5	95	1	99
7	14	86	16	84	13	87	16	84	17	83	5	95	1	99
8	16	84	17	83	14	86	18	82	19	81	6	94	1	99
9	17	83	19	81	16	84	20	80	20	80	6	94	1	99
10	18	82	20	80	17	83	21	79	22	78	6	94	1	99
11	20	80	22	78	18	82	22	78	23	77	6	94	1	99
12	21	79	23	77	19	81	24	76	25	75	7	93	1	99
13	22	78	25	75	20	80	26	74	26	74	7	93	1	99
14	24	76	26	74	21	79	27	73	28	72	7	93	1	99
15	25	75	28	72	23	77	29	71	30	70	7	93	1	99
16	26	74	29	71	24	76	30	70	31	69	7	93	1	99
17	28	72	31	69	25	75	32	68	33	67	7	93	1	99
18	30	70	33	67	27	73	34	66	35	65	8	92	2	98
19	31	69	35	65	29	71	36	64	37	63	9	91	3	97
20	34	66	37	63	31	69	38	62	39	61	10	90	6	94
21	36	64	39	61	33	67	40	60	41	59	11	89	8	92
22	38	62	41	59	36	64	42	58	43	57	13	87	12	88
23	41	59	43	57	38	62	45	55	46	54	16	84	16	84
24	43	57	46	54	41	59	47	53	48	52	19	81	21	79
25	46	54	48	52	45	55	49	51	50	50	24	76	27	73
26	49	51	50	50	48	52	51	49	52	48	30	70	33	67
27	52	48	53	47	51	49	54	46	55	45	35	65	39	61
28	55	45	55	45	54	46	56	44	57	43	41	59	46	54
29	57	43	58	42	57	43	59	41	59	41	46	54	50	50
30	60	40	60	40	60	40	61	39	61	39	51	49	56	44
31	62	38	62	38	62	38	62	38	63	37	55	45	59	41
32	64	36	64	36	65	35	64	36	65	35	60	40	64	36
33	66	34	66	34	67	33	66	34	66	34	64	36	67	33
34	68	32	68	32	69	31	68	32	68	32	67	33	70	30
35	70	30	69	31	71	29	69	31	69	31	71	29	75	25
36	72	28	71	29	72	28	71	29	71	29	74	26	77	23
37	73	27	72	28	74	26	72	28	72	28	76	24	80	20
38	75	25	74	26	75	25	73	27	73	27	79	21	82	18
39	76	24	75	25	77	23	75	25	74	26	81	19	84	16
40	77	23	76	24	78	22	76	24	76	24	83	17	86	14
41	78	22	77	23	79	21	77	23	77	23	85	15	87	13
42	80	20	79	21	81	19	78	22	78	22	87	13	89	11
43	81	19	80	20	82	18	80	20	79	21	88	12	91	9
44	82	18	81	19	83	17	81	19	80	20	89	11	92	8
45	83	17	82	18	84	16	82	18	81	19	91	9	93	7
46	84	16	83	17	85	15	83	17	82	18	92	8	94	6
47	85	15	84	16	86	14	84	16	83	17	93	7	95	5
48	86	14	85	15	87	13	85	15	84	16	94	6	96	4
49	87	13	86	14	88	12	86	14	85	15	94	6	96	4
50	88	12	87	13	89	11	87	13	86	14	95	5	97	3
51	89	11	88	12	90	10	88	12	87	13	96	4	98	2
52	90	10	89	11	90	10	89	11	88	12	96	4	98	2
53	91	9	90	10	91	9	89	11	89	11	97	3	98	2
54	91	9	91	9	92	8	90	10	90	10	97	3	99	1
55	92	8	91	9	93	7	91	9	90	10	98	2	99	1
56	93	7	92	8	93	7	92	8	91	9	98	2	99	1
57	93	7	93	7	94	6	93	7	92	8	98	2	99	1
58	94	6	93	7	94	6	93	7	93	7	99	1	99	1
59	94	6	94	6	95	5	94	6	93	7	99	1	99	1
60	95	5	94	6	95	5	94	6	94	6	99	1	100	0
61	95	5	95	5	95	5	94	6	94	6	99	1	100	0
62	95	5	95	5	96	4	95	5	94	6	99	1	100	0
63	96	4	95	5	96	4	95	5	95	5	100	0	100	0
64	96	4	96	4	96	4	95	5	95	5	100	0	100	0
65	96	4	96	4	96	4	96	4	95	5	100	0	100	0
66	96	4	96	4	97	3	96	4	96	4	100	0	100	0
67	97	3	96	4	97	3	96	4	96	4	100	0	100	0
68	97	3	97	3	97	3	97	3	96	4	100	0	100	0
69	97	3	97	3	97	3	97	3	96	4	100	0	100	0
70	97	3	97	3	97	3	97	3	97	3	100	0	100	0
71	98	2	98	2	98	2	97	3	97	3	100	0	100	0
72	98	2	98	2	98	2	98	2	97	3	100	0	100	0
73	98	2	98	2	98	2	98	2	98	2	100	0	100	0
74	98	2	98	2	98	2	98	2	98	2	100	0	100	0
75	99	1	99	1	99	1	98	2	98	2	100	0	100	0
76	99	1	99	1	99	1	99	1	98	2	100	0	100	0
77	99	1	99	1	99	1	99	1	99	1	100	0	100	0
78	99	1	99	1	99	1	99	1	99	1	100	0	100	0
79	99	1	99	1	99	1	99	1	99	1	100	0	100	0
80	99	1	99	1	99	1	99	1	99	1	100	0	100	0
81	100	0	100	0	99	1	100	0	99	1	100	0	100	0
82	100	0	100	0	100	0	100	0	99	1	100	0	100	0
83	100	0	100	0	100	0	100	0	100	0	100	0	100	0
84	100	0	100	0	100	0	100	0	100	0	100	0	100	0
85	100	0	100	0	100	0	100	0	100	0	100	0	100	0
86	100	0	100	0	100	0	100	0	100	0	100	0	100	0
87	100	0	100	0	100	0	100	0	100	0	100	0	100	0
88	100	0	100	0	100	0	100	0	100	0	100	0	100	0
89	100	0	100	0	100	0	100	0	100	0	100	0	100	0
90	100	0	100	0	100	0	100	0	100	0	100	0	100	0
91	100	0	100	0	100	0	100	0	100	0	100	0	100	0
92	100	0	100	0	100	0	100	0	100	0	100	0	100	0
93	100	0	100	0	100	0	100	0	100	0	100	0	100	0
94	100	0	100	0	100	0	100	0	100	0	100	0	100	0
95	100	0	100	0	100	0	100	0	100	0	100	0	100	0
96	100	0	100	0	100	0	100	0	100	0	100	0	100	0
97	100	0	100	0	100	0	100	0	100	0	100	0	100	0
98	100	0	100	0	100	0	100	0	100	0	100	0	100	0
